# {"t_start": 1680793670.738604, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
147.0,380,10.121196
252.0,539,18.297309
294.0,543,26.454197
189.0,367,31.974538
189.0,596,40.878607
357.0,598,49.615426
315.0,511,56.956055
189.0,443,63.39123
378.0,620,72.349623
357.0,667,81.904248
441.0,632,90.500933
189.0,326,94.948622
399.0,595,148.065199
483.0,650,157.89038
357.0,588,166.825448
483.0,746,178.124585
294.0,542,186.227287
252.0,649,195.919057
399.0,553,204.238399
252.0,510,211.985745
189.0,483,218.762558
357.0,545,226.739372
231.0,605,234.979783
189.0,496,287.941194
357.0,537,296.068528
336.0,661,306.091104
294.0,505,313.573978
273.0,475,320.676719
273.0,382,326.480708
399.0,552,334.789485
336.0,441,341.38991
462.0,541,349.605165
378.0,591,358.39134
399.0,588,367.189818
231.0,505,374.07614
420.0,625,428.922358
315.0,582,437.651572
357.0,617,447.045478
357.0,490,454.373749
252.0,378,460.000913
357.0,608,468.995514
399.0,551,477.130409
441.0,606,486.403349
378.0,629,495.984086
189.0,378,501.621885
294.0,606,510.385235
210.0,467,516.929716
357.0,469,568.512234
273.0,488,575.235773
210.0,491,582.326593
252.0,478,589.176267
231.0,441,595.745274
189.0,389,601.491624
336.0,599,610.650419
399.0,595,619.567886
315.0,486,626.797026
294.0,520,634.568469
399.0,538,642.706975
294.0,497,650.132019
378.0,546,702.667129
588.0,669,711.908035
630.0,858,723.931853
567.0,674,733.347391
189.0,353,738.387786
336.0,474,745.216567
378.0,594,753.905555
336.0,642,763.575053
273.0,434,769.958203
231.0,329,774.816973
420.0,581,783.548189
399.0,736,842.118418
357.0,571,850.338445
399.0,525,857.494179
378.0,628,866.082398
399.0,622,874.416931
336.0,506,881.218261
441.0,651,890.679575
504.0,689,900.88882
231.0,483,908.117363
378.0,598,917.000333
315.0,512,924.695831
399.0,509,979.318337
525.0,671,988.392161
189.0,404,993.946285
420.0,633,1002.65798
357.0,656,1011.598654
315.0,549,1019.082846
315.0,602,1027.289851
210.0,366,1032.334244
357.0,482,1038.953615
546.0,686,1049.00089
399.0,592,1057.876242
483.0,658,1067.747212
189.0,333,1121.069815
441.0,666,1130.987614
357.0,636,1139.824402
252.0,572,1147.395169
525.0,605,1155.459945
168.0,362,1160.330387
315.0,465,1166.438539
399.0,628,1174.910197
336.0,529,1182.148029
273.0,509,1189.278092
399.0,662,1198.684027
399.0,630,1253.370486
462.0,662,1263.368395
378.0,637,1272.833549
567.0,696,1282.863031
420.0,570,1291.06456
294.0,524,1298.453988
357.0,474,1305.165365
462.0,616,1313.840318
420.0,632,1322.427536
441.0,603,1330.48794
420.0,600,1339.003828
378.0,570,1394.70592
399.0,624,1404.025901
315.0,458,1410.833571
420.0,652,1420.64092
483.0,646,1429.862753
252.0,464,1436.452664
504.0,666,1445.968827
294.0,473,1452.657248
315.0,463,1459.197725
399.0,595,1467.596667
357.0,490,1474.353732
399.0,513,1529.844059
420.0,570,1537.935382
567.0,737,1549.061526
483.0,620,1558.484193
504.0,681,1568.813178
189.0,384,1574.542372
294.0,524,1582.414772
252.0,372,1587.647975
357.0,653,1596.958514
336.0,453,1603.412445
483.0,574,1611.385346
399.0,596,1619.864616
420.0,624,1673.273674
399.0,625,1682.0381
703.0,913,1695.051872
462.0,585,1703.253497
462.0,517,1710.547169
441.0,709,1720.768459
357.0,535,1728.555342
525.0,664,1738.295765
483.0,664,1747.692616
378.0,568,1755.759403
378.0,577,1820.783885
336.0,597,1829.28861
420.0,564,1837.410496
399.0,573,1845.631592
525.0,702,1855.595106
399.0,522,1862.950353
168.0,225,1865.975675
378.0,635,1875.141489
273.0,474,1881.88933
252.0,507,1889.030739
378.0,678,1898.614967
483.0,696,1954.960296
273.0,469,1961.828705
399.0,486,1968.988964
315.0,511,1976.667122
462.0,667,1986.445024
420.0,587,1994.591465
462.0,658,2003.97806
420.0,505,2011.155741
441.0,657,2020.546824
462.0,664,2029.854214
399.0,564,2038.188483
210.0,378,2104.748846
483.0,674,2115.111545
588.0,736,2126.470142
525.0,672,2136.055682
315.0,453,2142.532607
525.0,606,2151.463502
483.0,851,2163.879574
420.0,560,2172.052209
546.0,670,2181.742004
504.0,690,2191.899641
252.0,325,2196.244885
