# {"t_start": 1680793622.5746517, "env_id": "AsteroidsNoFrameskip-v4"} 
r,l,t
1030.0,1102,17.697494
1300.0,1749,39.865844
480.0,485,46.249846
1340.0,1356,66.993879
880.0,768,79.395428
630.0,642,89.851026
1470.0,1161,189.841807
580.0,474,197.489302
1180.0,1085,215.144966
980.0,1106,233.24363
280.0,460,240.65182
210.0,286,245.296619
2150.0,1830,274.580506
1280.0,1101,330.722636
480.0,557,339.547634
1180.0,967,355.06793
260.0,318,359.936653
930.0,818,373.268308
1130.0,945,388.645033
1400.0,1513,413.225523
1030.0,700,462.169992
1080.0,796,474.088556
330.0,306,478.892995
1480.0,1578,504.231436
1460.0,1137,522.649403
1280.0,1765,551.596355
1840.0,952,648.428522
780.0,682,659.60173
1490.0,1066,677.336234
530.0,499,685.356174
1380.0,978,701.215579
1300.0,1018,716.815242
580.0,425,723.168648
430.0,353,728.239605
1080.0,811,802.162218
480.0,764,814.472042
780.0,479,822.146997
1320.0,1028,838.766449
1410.0,1033,854.73631
1690.0,1047,870.722331
1280.0,1071,886.714159
1030.0,780,931.842177
1530.0,1064,949.256572
1180.0,731,961.151706
1690.0,1919,991.574176
380.0,379,997.236398
930.0,620,1006.660123
930.0,702,1017.570325
280.0,340,1022.790526
830.0,617,1090.792636
1300.0,728,1102.35864
1180.0,920,1116.998177
1420.0,1184,1135.020694
1490.0,722,1146.290977
1530.0,747,1157.505896
1280.0,1193,1176.257162
1780.0,799,1266.375789
1300.0,902,1279.839795
1690.0,764,1291.170018
1950.0,847,1304.127252
1460.0,1146,1322.173462
1300.0,1057,1337.708062
530.0,332,1342.528654
930.0,374,1347.934864
1680.0,857,1360.895635
1080.0,655,1449.068289
1350.0,1174,1467.599385
880.0,369,1473.333312
1320.0,781,1484.932938
630.0,375,1490.43421
830.0,459,1497.319075
1510.0,1052,1512.995696
930.0,530,1520.753114
1830.0,1081,1588.165732
530.0,266,1592.2412
730.0,446,1599.107027
1610.0,1225,1618.421513
1280.0,1366,1639.107561
1730.0,816,1651.4015
1320.0,788,1663.233103
980.0,675,1673.030244
1180.0,467,1679.805022
980.0,640,1768.801317
1730.0,734,1780.411416
1390.0,1075,1796.646689
1300.0,754,1807.748111
1300.0,420,1813.697832
1180.0,862,1826.012218
1180.0,612,1834.770117
1320.0,830,1846.682495
1300.0,900,1940.503435
1510.0,808,1952.966978
2600.0,1519,1975.112643
530.0,284,1979.096762
580.0,332,1983.904096
980.0,504,1991.299928
2100.0,974,2006.81784
1860.0,960,2022.53673
1410.0,1824,2095.133472
1440.0,779,2106.991527
1490.0,537,2114.967194
1350.0,484,2122.113768
1730.0,1200,2139.872942
1660.0,1169,2157.972885
580.0,410,2164.488685
2150.0,1487,2269.831407
780.0,444,2276.267065
780.0,573,2284.731666
1300.0,854,2297.473617
1460.0,971,2313.022588
2030.0,783,2325.199797
980.0,594,2334.516008
1740.0,1093,2352.028385
