# {"t_start": 1680793656.4653502, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
1090.0,603,13.525787
950.0,819,25.757361
1220.0,727,37.087966
330.0,543,45.414283
480.0,437,52.154008
880.0,842,64.858349
1010.0,602,73.880026
690.0,628,83.270644
690.0,787,95.256715
530.0,614,137.546637
570.0,604,146.444519
410.0,611,155.752738
330.0,371,161.62231
350.0,436,168.506284
580.0,637,178.525608
1210.0,766,190.432005
740.0,613,200.142525
340.0,400,206.41484
360.0,581,215.669085
460.0,758,227.593015
450.0,641,291.996001
550.0,701,303.239486
250.0,525,311.543659
530.0,597,321.172601
320.0,568,330.374388
350.0,895,344.799053
550.0,700,356.058409
370.0,543,364.918133
420.0,468,372.491312
1940.0,778,384.793873
1180.0,608,446.966181
1010.0,1204,466.411144
680.0,642,476.733731
410.0,496,484.758372
310.0,773,497.381858
510.0,1084,515.090147
860.0,787,527.469297
540.0,649,537.132833
380.0,610,598.49757
1060.0,612,608.141631
470.0,769,620.611997
690.0,767,633.070957
1390.0,934,647.954114
460.0,741,659.816385
790.0,879,673.485362
690.0,685,683.890411
400.0,548,748.109771
510.0,730,759.29856
350.0,622,768.722784
520.0,675,779.584311
550.0,780,791.836323
510.0,616,801.696646
340.0,642,811.749544
440.0,862,825.041524
730.0,624,834.58976
520.0,592,899.568621
540.0,492,907.494569
1010.0,839,920.821082
300.0,688,931.961502
530.0,587,941.345026
610.0,686,951.962381
720.0,634,961.418124
500.0,550,969.76851
350.0,621,979.000823
1190.0,944,993.342918
350.0,487,1055.892967
500.0,558,1064.9184
960.0,667,1075.563071
550.0,477,1083.07588
410.0,486,1090.256766
570.0,690,1100.629501
1580.0,794,1112.482952
450.0,622,1121.67691
530.0,654,1131.490719
800.0,688,1142.40052
660.0,656,1199.271662
450.0,525,1207.336126
420.0,754,1218.702801
660.0,654,1228.127871
380.0,561,1236.41031
1440.0,742,1247.579153
460.0,623,1257.087765
680.0,663,1267.219121
790.0,646,1277.440888
470.0,607,1287.057016
470.0,648,1352.982934
900.0,623,1362.132869
1110.0,523,1369.731286
770.0,623,1378.71976
820.0,665,1388.376006
390.0,554,1396.412761
1040.0,675,1406.227238
380.0,618,1416.040426
970.0,639,1426.147056
1070.0,717,1437.36403
960.0,657,1510.358968
520.0,620,1519.223416
1120.0,688,1529.094586
880.0,639,1538.27614
760.0,527,1545.965739
380.0,621,1555.367319
1870.0,724,1566.645991
570.0,681,1577.327604
820.0,677,1588.072814
620.0,529,1656.292552
1050.0,631,1665.520148
540.0,600,1674.172899
990.0,662,1683.973932
1240.0,782,1696.061283
620.0,716,1706.947743
320.0,529,1714.991022
1360.0,956,1729.31381
510.0,587,1738.768116
860.0,613,1748.550377
570.0,666,1818.494636
430.0,786,1829.638469
650.0,694,1840.01441
490.0,846,1852.59939
490.0,705,1863.19646
520.0,603,1872.150457
630.0,814,1884.291515
440.0,571,1892.981903
1180.0,1052,1961.495198
400.0,469,1968.809462
470.0,653,1979.107601
810.0,645,1989.371333
590.0,455,1996.586251
720.0,771,2008.193382
1380.0,793,2020.267693
620.0,567,2028.808697
820.0,819,2041.097523
1010.0,768,2053.111046
910.0,760,2122.907411
520.0,515,2131.00122
860.0,735,2142.43129
2440.0,846,2155.147995
500.0,417,2161.453071
680.0,552,2169.82984
1390.0,1054,2185.820611
1000.0,694,2196.238425
1220.0,897,2261.270626
790.0,579,2270.399478
830.0,735,2281.410123
750.0,721,2292.343225
600.0,473,2299.577288
600.0,520,2307.570858
500.0,406,2313.749449
830.0,567,2322.052927
1900.0,622,2330.918239
840.0,776,2342.234454
580.0,444,2348.761356
640.0,618,2400.778028
690.0,473,2407.788724
890.0,706,2418.735653
760.0,525,2426.749056
1420.0,706,2437.822568
620.0,746,2449.444984
1140.0,638,2459.266064
1120.0,1177,2476.829601
1160.0,535,2484.749272
630.0,596,2533.217959
1950.0,1322,2552.815673
700.0,774,2564.565261
1190.0,998,2579.830311
990.0,730,2591.016801
660.0,700,2601.668969
1440.0,900,2615.313924
700.0,496,2622.887707
900.0,725,2690.428245
730.0,616,2699.81407
830.0,800,2712.152394
670.0,564,2720.842731
900.0,742,2732.261597
1420.0,675,2742.65578
1020.0,727,2753.868061
700.0,618,2763.271768
1130.0,879,2776.91977
560.0,399,2835.97788
400.0,339,2841.016503
1470.0,822,2853.743747
860.0,571,2862.632487
1030.0,606,2872.072626
1100.0,934,2886.400867
740.0,588,2895.358703
760.0,615,2904.765437
630.0,614,2914.083333
1750.0,577,2922.846689
1190.0,726,2981.425188
860.0,674,2991.822449
630.0,582,3000.617671
620.0,651,3010.617168
790.0,564,3019.273054
430.0,419,3025.824488
260.0,312,3030.568815
410.0,455,3037.518968
470.0,402,3043.558354
860.0,544,3051.876533
920.0,694,3062.556469
1220.0,773,3119.671808
750.0,755,3130.701447
1330.0,817,3143.244059
800.0,843,3156.178649
770.0,674,3166.387488
680.0,634,3176.031301
780.0,614,3185.441651
900.0,787,3197.35154
1460.0,872,3210.5045
940.0,662,3269.478405
510.0,450,3275.998103
830.0,583,3284.645674
440.0,420,3291.058619
870.0,691,3301.616098
910.0,694,3312.251777
710.0,602,3321.576679
1130.0,577,3330.505971
1030.0,762,3342.329036
1970.0,898,3411.552215
1250.0,764,3422.630159
180.0,401,3428.45616
1380.0,693,3438.958045
950.0,671,3449.166349
850.0,667,3459.508033
1130.0,575,3468.294487
430.0,477,3475.467455
720.0,677,3485.796607
680.0,478,3493.258504
590.0,422,3499.707697
990.0,624,3558.780731
900.0,582,3566.999952
1100.0,785,3578.152964
650.0,676,3587.62173
1130.0,686,3597.992662
710.0,731,3609.024427
750.0,559,3617.602538
860.0,693,3628.298089
1070.0,627,3637.860761
990.0,837,3702.557826
360.0,381,3707.969538
610.0,596,3716.396836
630.0,467,3722.871845
460.0,451,3729.335852
520.0,461,3735.72072
1050.0,770,3747.17306
710.0,638,3756.592186
500.0,438,3762.978678
1090.0,639,3772.558739
950.0,713,3783.666713
750.0,541,3792.073012
690.0,490,3853.387182
970.0,610,3862.593936
1640.0,817,3874.032842
1000.0,677,3883.571884
1550.0,671,3893.363174
640.0,520,3901.00505
850.0,641,3910.597413
1100.0,890,3923.729924
650.0,783,3935.343468
580.0,615,4005.953424
1070.0,710,4016.403451
850.0,735,4027.209302
790.0,800,4039.281211
690.0,676,4049.288585
